id,channel,agent,customer_message,agent_message,timestamp,handle_time_seconds,resolved,first_call_resolution,csat,compliance_violation
1,email,Agent A,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-05-21 10:13:44,416,1,1,4,0
2,email,Agent L,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-10-07 11:49:06,86,0,0,3,0
3,chat,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-03-21 09:57:35,397,0,0,2,0
4,email,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-07-13 08:43:02,2424,1,0,3,0
5,email,Agent M,Question about product feature and delivery time.,,2025-05-29 08:43:34,1616,1,0,3,0
6,chat,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-02-06 13:32:40,418,1,0,3,0
7,chat,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-01-29 10:05:05,246,0,0,2,0
8,email,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-08-23 09:18:01,3119,1,0,3,0
9,chat,Agent D,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-03-12 12:38:16,186,1,1,3,0
10,call,Agent I,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-05-09 13:02:08,1576,0,0,3,0
11,email,Agent F,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-27 10:40:17,3007,1,0,3,0
12,call,Agent E,I have an delay with my order.,"Sorry for the inconvenience. Happy, I will assist.",2025-09-17 13:32:34,181,1,1,4,0
13,chat,Agent N,I have an problem with my order.,,2025-06-07 10:10:46,117,1,1,4,0
14,email,Agent I,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-03-26 10:24:45,2268,0,0,2,0
15,email,Agent G,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-07-11 11:59:15,1444,1,0,3,1
16,email,Agent A,Question about product feature and delivery time.,,2025-04-28 08:36:48,350,1,1,3,0
17,email,Agent L,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-10-20 13:14:41,839,1,0,3,0
18,call,Agent A,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-20 08:33:06,689,1,0,3,0
19,chat,Agent C,Question about product feature and delivery time.,,2025-05-23 12:12:39,483,0,0,3,0
20,email,Agent A,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-02-17 14:51:32,1702,0,0,3,0
21,chat,Agent G,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-05-16 15:08:12,707,1,0,4,0
22,email,Agent I,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-02-01 14:48:29,704,1,0,5,0
23,call,Agent B,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-04 14:08:45,1346,1,0,3,0
24,email,Agent I,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-06-11 10:22:24,596,1,1,3,0
25,email,Agent B,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-01-05 12:10:17,933,1,0,4,0
26,chat,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-03-22 11:59:18,38,1,1,5,0
27,chat,Agent O,I have an issue with my order.,"Sorry for the inconvenience. Great, I will assist.",2025-03-10 10:24:26,649,1,0,3,0
28,email,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-01-27 08:50:24,3218,1,0,5,0
29,chat,Agent H,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-10-10 14:25:23,588,1,1,3,0
30,chat,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-01-21 11:15:24,446,0,0,3,0
31,call,Agent D,Question about product feature and delivery time.,,2025-03-25 15:16:50,230,1,0,4,0
32,email,Agent D,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-05-17 09:26:56,3576,1,0,3,0
33,call,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-06-06 15:28:07,996,1,0,5,0
34,email,Agent G,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-10-02 11:00:51,791,1,0,2,0
35,chat,Agent J,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-08-11 11:08:47,148,1,1,4,1
36,call,Agent I,Question about product feature and delivery time.,,2025-04-11 11:18:54,856,1,0,5,0
37,chat,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-06-03 12:36:57,597,1,1,5,0
38,email,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-07-27 12:59:14,2544,1,0,4,0
39,chat,Agent D,Question about product feature and delivery time.,,2025-09-19 12:18:25,783,1,0,4,0
40,chat,Agent N,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-05-01 14:07:26,280,0,0,3,0
41,email,Agent H,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-08-01 13:43:56,1059,1,0,3,0
42,call,Agent M,I have an angry with my order.,"Sorry for the inconvenience. Thanks, I will assist.",2025-08-06 09:59:30,428,1,1,2,0
43,call,Agent J,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-06-12 14:52:28,1213,1,0,4,0
44,call,Agent H,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-05-13 14:50:34,1247,1,0,3,0
45,chat,Agent L,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-05-27 10:08:03,184,1,1,4,0
46,email,Agent G,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-01 09:52:57,2908,1,0,3,0
47,email,Agent H,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-01-04 11:12:06,3483,1,0,3,0
48,chat,Agent D,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-05-20 11:58:01,771,1,0,3,0
49,chat,Agent J,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-10-01 08:14:43,688,1,0,4,0
50,chat,Agent H,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-06-17 11:04:19,881,1,0,3,0
51,email,Agent L,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-10-04 08:28:26,3149,1,0,4,0
52,chat,Agent H,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-02-28 13:08:00,201,1,0,5,0
53,email,Agent C,Question about product feature and delivery time.,,2025-06-09 08:59:02,2418,1,0,4,0
54,chat,Agent L,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-05-05 08:55:39,845,0,0,3,0
55,chat,Agent G,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-07-09 08:37:39,872,1,0,3,0
56,email,Agent C,Question about product feature and delivery time.,,2025-08-11 09:36:11,1166,1,0,4,0
57,email,Agent H,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-08-12 15:30:57,3462,0,0,2,0
58,email,Agent K,I have an delay with my order.,"Sorry for the inconvenience. Great, I will assist.",2025-07-14 11:03:43,1454,1,0,5,0
59,call,Agent I,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-01-06 12:42:08,1180,1,0,4,0
60,chat,Agent A,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-02-17 10:40:41,407,1,1,5,0
61,email,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-06-30 14:23:51,1352,1,0,3,0
